I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-3,-6,-3,5,1,-5,72,-121,-18,-176,125,61
-4,-9,-5,6,1,-8,75,-120,-21,-172,125,63
-7,-12,-6,9,0,-9,75,-117,-18,-170,125,63
-5,-14,-9,9,3,-12,70,-115,-15,-167,133,64
-5,-17,-12,11,4,-15,70,-111,-12,-166,131,64
-4,-22,-18,13,7,-20,77,-104,-10,-162,137,62
-3,-24,-21,13,10,-23,77,-101,-9,-161,138,59
-6,-27,-21,16,8,-25,77,-98,-7,-161,136,54
-5,-29,-24,17,10,-27,76,-95,-5,-159,140,51
-8,-32,-24,20,8,-28,76,-94,-1,-160,135,49
-14,-37,-24,26,6,-31,81,-90,2,-160,136,45
-21,-44,-23,32,2,-34,86,-87,5,-160,133,43
-27,-48,-22,37,-2,-35,87,-84,9,-160,131,40
-25,-48,-22,36,-1,-35,82,-82,11,-156,136,40
-24,-49,-24,36,1,-37,82,-81,12,-158,134,37
-19,-49,-30,34,6,-40,87,-79,11,-160,141,33
-14,-51,-36,33,12,-44,88,-77,10,-161,143,30
-13,-54,-41,33,15,-48,88,-75,12,-162,143,24
-9,-55,-46,32,19,-51,89,-72,12,-162,147,21
-9,-57,-48,33,20,-53,91,-72,12,-166,142,19
-8,-58,-50,33,21,-54,94,-68,11,-168,143,15
-7,-57,-50,32,22,-54,97,-66,8,-170,137,12
-8,-57,-50,32,22,-54,96,-63,8,-172,133,10
-4,-56,-52,30,25,-54,91,-61,7,-173,138,11
3,-51,-53,24,29,-52,92,-59,8,-176,136,12
15,-42,-57,14,36,-50,98,-55,9,-177,143,13
21,-35,-56,7,39,-46,100,-51,10,-176,147,16
22,-29,-51,4,37,-41,103,-45,13,-175,149,17
30,-22,-52,-4,41,-37,104,-40,14,-173,156,19
38,-14,-52,-12,45,-34,103,-38,15,-174,153,20
46,-5,-51,-20,49,-29,107,-35,18,-172,156,21
54,5,-48,-29,51,-22,111,-33,21,-171,155,24
56,11,-45,-33,51,-17,112,-30,24,-171,154,27
60,15,-45,-37,53,-15,107,-26,23,-169,161,31
60,18,-42,-39,52,-12,106,-25,22,-170,160,33
63,21,-42,-42,53,-11,110,-24,20,-168,168,32
65,24,-42,-45,54,-10,109,-24,16,-168,170,33
64,24,-40,-44,53,-9,107,-24,12,-167,170,32
69,27,-42,-48,56,-8,106,-22,10,-165,175,33
72,30,-42,-51,57,-6,105,-21,11,-166,169,34
74,33,-41,-54,58,-4,106,-20,11,-165,172,34
76,37,-38,-56,57,-1,108,-22,10,-166,170,36
77,40,-37,-59,58,1,105,-22,10,-166,167,37
85,44,-41,-64,63,1,98,-21,9,-164,169,40
87,46,-41,-67,65,2,96,-22,8,-166,166,41
91,47,-44,-69,68,1,98,-22,7,-167,174,39
92,47,-45,-69,69,1,97,-24,5,-167,176,41
88,44,-44,-66,66,0,97,-24,4,-167,177,41
89,43,-45,-66,67,-1,94,-24,3,-166,183,42
86,43,-43,-65,65,-1,90,-25,4,-169,178,42
85,44,-42,-64,64,1,92,-23,5,-170,181,43
84,45,-39,-65,62,3,97,-22,4,-172,177,47
81,46,-35,-63,58,5,98,-20,5,-174,174,50
81,48,-34,-64,58,7,95,-17,4,-174,178,55
79,49,-30,-64,55,9,95,-18,3,-177,175,57
80,52,-29,-66,55,11,99,-19,2,-177,180,57
80,52,-28,-66,55,12,97,-21,1,-178,181,56
78,51,-27,-64,53,12,95,-20,3,-178,181,53
80,52,-28,-66,55,12,93,-20,3,-178,185,51
81,54,-27,-67,55,13,91,-22,5,-183,177,48
84,56,-28,-70,56,14,92,-24,6,-185,177,45
88,59,-29,-73,59,15,93,-28,6,-187,172,43
85,58,-27,-72,56,16,92,-28,7,-188,168,41
83,58,-25,-70,55,16,89,-26,8,-186,171,42
84,58,-25,-71,55,16,89,-25,9,-185,167,43
90,61,-29,-76,60,16,92,-23,10,-182,174,42
92,60,-31,-76,62,14,92,-22,10,-181,174,42
87,56,-31,-71,59,12,93,-20,11,-181,172,40
85,54,-31,-69,59,11,93,-20,11,-179,175,40
80,51,-29,-66,55,11,93,-23,12,-181,169,39
78,49,-29,-64,54,10,97,-23,13,-179,170,38
78,48,-30,-63,54,9,101,-25,14,-179,167,38
78,47,-31,-62,55,8,100,-26,15,-178,164,36
84,48,-36,-66,60,6,95,-27,15,-174,166,37
84,48,-36,-66,61,6,95,-26,16,-172,163,38
86,49,-36,-68,61,6,98,-21,17,-168,171,39
85,49,-35,-67,60,7,99,-19,17,-165,172,40
79,46,-33,-63,56,7,101,-16,17,-164,171,38
78,47,-31,-62,55,8,102,-14,17,-162,175,39
73,47,-27,-60,50,10,102,-15,18,-163,170,38
70,45,-25,-57,48,10,106,-14,19,-161,172,37
66,42,-23,-54,45,9,110,-15,20,-160,169,38
62,41,-21,-51,42,10,110,-15,21,-160,164,37
64,43,-21,-53,43,11,106,-14,21,-160,164,38
63,44,-19,-53,41,12,106,-14,20,-160,160,39
64,46,-18,-55,41,14,112,-12,17,-156,169,39
66,46,-19,-56,43,14,112,-13,16,-154,170,39
65,44,-21,-55,43,12,110,-13,18,-153,169,36
70,44,-26,-57,49,9,108,-13,17,-152,173,35
74,44,-30,-59,52,7,105,-16,16,-153,166,34
78,45,-33,-61,56,6,107,-16,16,-152,167,33
81,47,-34,-64,58,7,111,-17,17,-153,162,35
80,48,-32,-64,57,8,110,-17,18,-153,159,35
82,50,-32,-66,58,8,103,-17,18,-150,164,35
80,49,-31,-65,56,9,102,-17,19,-151,160,36
80,49,-32,-65,57,8,106,-16,20,-150,166,37
80,49,-31,-64,56,9,106,-16,19,-148,167,38
77,48,-29,-62,54,9,105,-15,20,-146,168,37
79,50,-28,-64,54,11,106,-14,21,-144,172,39
77,53,-25,-65,51,14,108,-13,24,-144,167,41
77,53,-24,-65,51,14,111,-10,25,-142,170,41
76,51,-25,-63,51,13,114,-8,25,-141,166,41
75,50,-25,-62,50,12,114,-8,26,-139,164,40
79,51,-27,-65,54,12,110,-9,26,-136,168,43
80,51,-28,-65,55,11,109,-10,26,-136,164,44
82,50,-32,-66,58,9,111,-9,25,-135,171,44
81,50,-31,-65,56,9,112,-10,25,-135,171,46
73,48,-25,-61,50,11,114,-9,28,-133,171,45
73,49,-24,-61,49,13,115,-10,29,-131,175,45
70,50,-20,-60,46,15,115,-12,30,-132,170,44
70,52,-18,-61,45,17,118,-10,30,-132,172,44
70,54,-16,-62,44,19,119,-7,30,-133,168,46
68,52,-17,-60,43,17,117,-6,30,-135,163,45
72,50,-22,-61,47,14,111,-9,28,-134,164,44
76,49,-27,-62,52,11,108,-13,27,-137,159,43
85,49,-36,-67,61,7,110,-15,26,-136,164,42
85,49,-36,-67,61,7,112,-13,26,-134,166,43
76,48,-28,-62,53,10,115,-8,29,-130,170,41
74,48,-27,-61,51,10,115,-6,30,-128,175,42
71,47,-25,-59,49,11,113,-9,31,-130,169,42
70,46,-24,-58,47,11,116,-8,31,-128,170,41
67,46,-21,-56,45,12,120,-8,31,-127,166,43
64,43,-20,-53,43,11,119,-8,32,-126,163,42
66,42,-24,-54,45,9,113,-10,33,-124,165,43
67,43,-24,-55,46,10,113,-10,33,-124,160,43
73,47,-25,-60,50,11,117,-8,33,-122,166,43
75,50,-25,-62,51,12,117,-7,34,-121,167,44
72,48,-23,-60,48,13,117,-5,39,-118,168,43
72,48,-23,-60,48,12,113,-4,38,-117,172,43
67,46,-21,-57,45,13,109,-6,34,-121,166,41
65,46,-19,-55,42,14,110,-5,32,-121,167,40
61,46,-14,-54,38,16,115,-5,31,-122,163,42
58,46,-12,-52,35,17,117,-3,31,-122,159,41
61,48,-14,-55,38,17,114,0,28,-121,161,43
62,52,-10,-57,37,21,113,1,27,-123,154,42
66,59,-8,-63,38,26,114,1,26,-122,158,41
67,60,-8,-64,38,26,115,3,25,-120,158,42
64,55,-9,-59,37,23,117,6,26,-116,160,43
66,52,-14,-59,41,19,116,8,25,-113,163,43
65,48,-18,-57,42,15,113,7,23,-116,155,40
63,44,-19,-53,41,13,114,7,25,-114,156,40
56,40,-16,-48,36,12,117,5,29,-112,152,45
50,35,-14,-42,32,11,117,4,31,-111,149,45
49,33,-16,-41,33,8,112,4,31,-110,153,45
46,31,-15,-38,31,8,111,3,30,-111,150,45
46,29,-16,-38,32,7,114,3,29,-109,158,45
46,26,-20,-36,33,4,115,2,28,-108,159,46
45,21,-24,-33,35,-1,116,1,29,-105,160,43
48,19,-28,-34,38,-4,113,1,28,-105,163,42
46,18,-28,-32,38,-5,107,-2,29,-109,155,38
47,19,-28,-33,38,-4,107,-3,29,-110,155,36
46,20,-25,-33,36,-2,109,-8,27,-112,149,36
44,20,-24,-32,34,-2,108,-11,25,-113,144,34
46,20,-26,-33,37,-3,101,-13,20,-112,146,34
45,18,-27,-32,36,-4,100,-15,19,-114,141,34
47,18,-29,-32,39,-6,103,-14,18,-112,147,34
47,17,-30,-32,39,-7,104,-13,17,-110,147,35
43,14,-29,-28,36,-7,106,-10,18,-107,149,32
44,14,-30,-29,38,-8,106,-9,19,-103,154,32
42,13,-29,-28,36,-8,105,-11,21,-103,148,32
42,12,-30,-27,37,-9,108,-12,21,-101,150,31
41,10,-31,-25,36,-11,111,-13,18,-101,146,30
39,8,-31,-24,35,-11,110,-14,17,-102,140,29
43,10,-32,-26,38,-11,104,-16,15,-103,137,30
44,11,-33,-28,39,-11,102,-17,15,-104,130,31
51,13,-38,-32,45,-12,104,-14,15,-101,136,31
49,13,-36,-31,43,-11,104,-13,14,-99,136,33
41,11,-30,-26,36,-9,107,-10,15,-95,137,32
39,12,-27,-25,33,-7,106,-8,15,-91,140,33
35,12,-23,-24,29,-5,103,-8,16,-88,134,32
36,13,-23,-24,30,-5,105,-6,17,-87,137,31
37,13,-24,-25,31,-5,109,-6,16,-90,133,30
34,10,-24,-22,30,-7,109,-7,18,-92,129,30
34,7,-27,-20,31,-10,106,-9,17,-92,130,32
30,4,-25,-17,28,-10,105,-9,18,-92,126,34
29,5,-24,-17,27,-10,108,-7,18,-89,134,37
28,6,-23,-17,26,-8,108,-7,19,-89,134,39
27,6,-21,-17,24,-7,109,-5,21,-88,136,36
30,7,-23,-19,27,-8,106,-4,18,-88,139,34
30,7,-23,-18,27,-8,101,-6,14,-92,130,30
31,8,-23,-20,27,-7,102,-6,12,-93,130,27
31,12,-19,-21,25,-3,104,-8,9,-95,122,26
28,11,-17,-20,23,-3,104,-6,10,-93,118,25
30,11,-19,-20,25,-4,100,-3,9,-90,120,25
27,8,-19,-18,24,-5,98,-4,8,-90,116,25
27,7,-21,-17,25,-7,98,-7,6,-89,122,23
27,4,-23,-16,25,-9,99,-10,4,-89,122,23
24,1,-24,-12,24,-11,102,-11,4,-88,122,21
26,-1,-27,-13,27,-14,100,-11,3,-87,125,21
24,-3,-27,-11,26,-15,96,-11,4,-87,119,20
24,-4,-28,-10,26,-16,98,-8,4,-86,121,20
22,-4,-26,-9,25,-15,102,-7,3,-87,115,21
19,-5,-24,-7,22,-14,104,-6,4,-86,112,21
20,-4,-24,-8,23,-14,100,-6,3,-83,114,23
19,-4,-23,-7,21,-13,99,-8,2,-82,110,22
21,-4,-25,-8,24,-14,98,-8,0,-80,115,20
22,-4,-26,-9,25,-15,98,-9,-2,-81,113,19
22,-6,-27,-8,25,-16,101,-10,-2,-82,113,17
24,-5,-29,-10,27,-17,98,-7,-3,-80,116,17
23,-5,-28,-9,26,-16,92,-2,-3,-79,109,16
24,-6,-30,-9,27,-18,94,-1,-3,-79,110,14
24,-8,-31,-8,28,-19,99,-5,-5,-82,102,12
21,-9,-30,-6,26,-19,102,-6,-4,-83,99,11
22,-7,-28,-7,25,-17,98,-5,-4,-81,101,13
20,-6,-26,-7,24,-16,96,-5,-3,-82,97,13
23,-4,-28,-10,26,-16,96,-4,-3,-81,104,12
25,-3,-29,-11,27,-16,96,-4,-4,-81,104,12
25,-4,-29,-10,27,-16,100,-3,-3,-80,105,11
26,-5,-31,-11,29,-18,98,-4,-4,-80,109,11
23,-9,-32,-7,28,-20,94,-7,-3,-82,103,11
24,-9,-33,-7,29,-21,97,-8,-2,-82,106,11
24,-8,-32,-8,29,-20,103,-11,-1,-83,101,14
19,-10,-29,-4,25,-19,103,-11,0,-82,99,15
15,-12,-27,-2,21,-19,97,-11,-2,-80,102,17
10,-14,-24,2,17,-19,95,-12,-1,-81,97,18
10,-15,-24,3,18,-19,96,-10,-2,-81,102,19
8,-16,-23,4,16,-19,96,-10,-2,-82,101,22
3,-18,-21,7,13,-19,99,-9,-1,-81,102,22
6,-17,-23,6,15,-20,97,-9,-4,-81,105,23
7,-18,-25,6,17,-21,92,-10,-6,-83,99,21
8,-19,-27,5,18,-22,93,-9,-6,-81,103,22
7,-20,-26,6,17,-23,99,-9,-5,-80,100,24
4,-21,-25,8,15,-23,100,-8,-3,-79,99,25
6,-20,-25,7,16,-22,97,-8,-4,-78,102,27
5,-20,-24,8,15,-22,94,-9,-4,-78,98,28
7,-19,-26,6,17,-22,93,-8,-6,-77,104,28
7,-19,-26,6,17,-22,92,-9,-8,-76,102,30
4,-20,-24,8,14,-21,94,-7,-8,-75,103,29
5,-19,-24,7,15,-21,91,-6,-9,-74,106,28
3,-19,-21,8,12,-20,87,-5,-9,-74,101,24
2,-19,-21,9,12,-20,89,-3,-7,-73,103,23
0,-20,-20,10,11,-20,93,-4,-5,-74,98,25
-4,-24,-20,14,9,-22,93,-3,-3,-75,96,24
-3,-27,-23,15,11,-25,89,-2,-3,-74,98,25
-6,-28,-22,17,9,-24,86,-2,-4,-76,93,24
-4,-26,-22,15,9,-23,85,-1,-6,-76,99,23
-1,-23,-22,12,11,-22,86,-2,-7,-74,98,25
2,-20,-23,9,13,-21,90,-2,-5,-68,102,27
9,-19,-28,5,19,-23,87,-4,-4,-66,105,27
11,-22,-33,5,23,-27,82,-9,-3,-68,99,22
13,-22,-36,4,25,-29,83,-10,-3,-69,100,20
12,-22,-34,5,24,-27,88,-12,-4,-73,92,20
10,-22,-31,6,21,-26,89,-10,-3,-74,89,19
10,-20,-30,5,21,-24,86,-7,-4,-73,90,19
10,-19,-29,5,20,-23,85,-8,-3,-74,88,19
14,-17,-31,1,23,-24,85,-9,-1,-72,97,17
15,-15,-30,0,23,-22,86,-9,-2,-72,96,17
13,-14,-27,1,20,-20,89,-8,-4,-73,97,13
12,-12,-25,0,19,-18,88,-6,-7,-73,99,13
7,-12,-19,3,13,-15,84,-6,-8,-77,93,14
4,-14,-17,5,11,-15,85,-4,-9,-76,96,14
-1,-17,-16,9,8,-16,89,-3,-9,-77,91,16
-2,-19,-17,11,8,-18,89,-2,-7,-75,90,15
3,-20,-23,8,13,-21,83,-1,-6,-72,91,15
3,-22,-25,10,15,-23,81,-3,-5,-71,86,15
5,-24,-29,10,17,-26,81,-4,-3,-69,91,16
5,-25,-30,10,18,-27,83,-5,-4,-68,91,17
3,-26,-30,12,17,-28,88,-3,-4,-65,95,14
5,-27,-32,11,19,-29,88,-4,-5,-63,99,15
3,-29,-33,13,19,-31,85,-7,-4,-64,94,15
6,-29,-35,12,21,-32,86,-8,-4,-64,96,13
9,-29,-37,10,23,-33,88,-11,-5,-66,90,12
7,-26,-33,10,20,-29,88,-12,-5,-67,87,13
6,-20,-27,7,17,-23,85,-11,-7,-68,86,18
3,-19,-21,8,12,-20,84,-10,-6,-67,84,20
3,-18,-21,8,12,-19,86,-5,-6,-61,96,21
6,-19,-25,7,16,-21,85,-5,-8,-59,96,19
10,-22,-32,6,21,-27,86,-5,-10,-59,95,11
12,-24,-36,6,24,-29,83,-7,-14,-60,95,9
7,-27,-34,10,21,-30,80,-11,-16,-64,86,6
5,-28,-33,12,19,-30,82,-11,-16,-64,87,6
2,-28,-30,13,16,-28,87,-11,-14,-64,82,8
0,-28,-28,14,15,-27,89,-10,-11,-62,81,8
4,-25,-29,11,17,-27,86,-9,-10,-60,83,11
2,-25,-28,11,16,-26,85,-9,-9,-59,79,13
3,-24,-27,11,15,-25,85,-7,-9,-57,86,14
4,-24,-28,10,16,-25,85,-7,-9,-56,85,18
6,-23,-29,9,18,-26,88,-5,-8,-54,89,21
8,-23,-31,7,20,-26,87,-2,-8,-51,96,24
5,-24,-29,10,18,-26,84,3,-6,-50,97,26
6,-25,-31,10,19,-28,83,3,-7,-47,102,25
7,-27,-34,10,21,-30,82,-3,-8,-48,96,23
8,-28,-36,10,22,-31,82,-6,-9,-48,92,20
13,-26,-40,6,27,-33,79,-9,-11,-48,90,20
15,-27,-41,6,28,-34,77,-10,-11,-49,84,19
18,-26,-45,4,32,-35,76,-7,-12,-47,90,19
18,-27,-45,5,32,-35,78,-8,-12,-48,87,21
13,-29,-42,8,28,-35,84,-9,-10,-49,88,22
10,-29,-40,9,25,-34,85,-7,-9,-48,92,25
3,-31,-34,14,19,-32,82,-3,-6,-47,89,25
-1,-33,-31,17,15,-31,83,1,-6,-46,94,24
-7,-34,-27,20,11,-30,86,2,-8,-48,89,22
-8,-33,-26,20,9,-29,86,3,-8,-49,86,21
-1,-29,-28,15,14,-28,81,1,-10,-48,85,24
1,-23,-25,11,14,-24,77,-1,-12,-50,80,22
6,-15,-22,4,14,-18,74,-2,-16,-50,86,18
8,-13,-21,2,15,-16,75,-5,-18,-51,85,15
8,-15,-22,3,15,-18,83,-7,-19,-51,86,10
10,-15,-25,3,18,-20,83,-8,-18,-49,87,10
7,-18,-25,6,16,-21,81,-10,-14,-49,80,11
7,-19,-26,6,17,-22,83,-11,-13,-45,83,13
4,-21,-25,8,15,-23,87,-12,-14,-44,80,16
1,-24,-25,12,14,-24,88,-13,-14,-43,80,15
2,-26,-28,12,15,-27,84,-15,-15,-42,81,17
0,-28,-28,14,14,-27,83,-15,-15,-44,77,18
4,-25,-29,11,17,-27,83,-13,-16,-43,85,22
8,-25,-33,8,21,-28,83,-13,-18,-43,85,23
12,-26,-37,7,25,-31,84,-12,-21,-42,90,21
17,-25,-42,4,30,-33,81,-10,-24,-42,93,19
16,-27,-43,5,30,-34,76,-9,-25,-44,87,14
16,-26,-41,5,29,-33,78,-5,-25,-44,89,14
11,-24,-35,7,24,-29,84,-2,-24,-46,82,17
7,-26,-33,10,21,-29,86,-1,-23,-45,81,16
7,-29,-36,11,22,-32,82,-2,-25,-43,82,14
3,-33,-36,15,20,-34,80,-3,-25,-44,76,13
3,-34,-37,16,20,-35,79,-2,-26,-43,80,13
3,-36,-39,17,21,-37,81,-2,-25,-41,78,13
3,-39,-42,18,23,-40,86,0,-22,-37,83,11
6,-39,-45,17,26,-42,83,-1,-21,-36,85,10
5,-41,-45,18,25,-43,78,-4,-20,-38,76,7
5,-40,-45,17,25,-42,79,-3,-19,-37,78,8
3,-38,-40,17,22,-39,83,-2,-17,-37,73,12
-2,-40,-38,21,19,-39,84,0,-17,-35,73,12
-4,-43,-39,24,17,-40,80,1,-19,-32,77,14
-9,-44,-35,26,14,-39,76,1,-20,-31,74,15
-8,-40,-32,24,12,-36,70,3,-22,-30,80,18
-9,-38,-29,23,10,-33,66,4,-24,-29,79,21
-11,-36,-25,24,7,-30,66,7,-24,-27,84,22
-13,-33,-20,23,4,-26,60,9,-24,-24,90,24
-20,-31,-11,26,-4,-21,53,10,-20,-22,89,26
-20,-29,-9,25,-5,-19,47,11,-20,-19,94,24
-18,-29,-10,23,-3,-19,41,8,-22,-20,89,22
-14,-28,-14,21,0,-21,34,6,-24,-20,87,19
-4,-26,-21,15,9,-23,24,3,-26,-20,85,19
-1,-26,-25,14,12,-25,16,1,-27,-22,80,18
4,-25,-29,11,17,-27,8,2,-27,-22,86,18
7,-26,-32,10,20,-29,4,0,-27,-23,85,19
8,-27,-35,9,22,-31,5,-1,-27,-22,89,18
10,-26,-36,8,24,-31,0,-1,-25,-22,92,20
6,-27,-33,10,20,-29,-8,0,-19,-24,87,20
5,-27,-33,11,19,-30,-10,0,-20,-24,89,19
3,-29,-32,13,18,-30,-10,-5,-25,-27,82,19
1,-29,-29,14,15,-29,-10,-4,-25,-28,80,18
2,-26,-27,12,15,-26,-14,1,-24,-27,79,19
-5,-28,-23,16,10,-25,-16,6,-22,-27,74,18
-10,-32,-22,21,6,-26,-18,14,-22,-24,80,18
-13,-34,-21,24,4,-27,-20,17,-24,-23,77,17
-15,-37,-22,26,4,-29,-20,19,-27,-23,78,12
-10,-37,-27,23,9,-32,-26,17,-32,-23,79,11
-5,-38,-33,21,14,-35,-32,11,-35,-26,72,10
1,-35,-36,17,19,-35,-33,8,-37,-25,76,9
3,-31,-35,14,20,-33,-30,4,-37,-26,72,10
7,-31,-38,12,23,-35,-31,2,-36,-26,72,7
15,-32,-47,8,31,-39,-37,-1,-37,-24,73,5
15,-33,-48,9,32,-40,-40,-5,-37,-27,67,2
15,-33,-48,9,32,-40,-40,-8,-38,-30,70,2
11,-33,-44,11,28,-38,-40,-10,-35,-32,67,3
4,-34,-39,15,22,-36,-36,-8,-29,-32,70,4
1,-36,-37,17,19,-36,-42,-6,-31,-30,75,6
-6,-39,-34,23,14,-36,-51,-5,-36,-29,73,7
-7,-43,-36,25,14,-39,-56,-5,-41,-28,77,5
-9,-47,-38,28,15,-42,-58,-7,-47,-32,70,4
-12,-54,-42,33,16,-47,-60,-9,-52,-36,67,-1
-10,-60,-50,35,20,-55,-66,-13,-59,-40,65,-3
-12,-66,-54,39,21,-60,-72,-15,-64,-45,57,-5
-10,-70,-60,40,25,-64,-77,-15,-70,-48,59,-6
-8,-74,-66,41,29,-70,-80,-17,-76,-52,56,-7
-6,-79,-74,43,34,-76,-78,-19,-81,-54,59,-10
-3,-83,-80,43,39,-81,-82,-20,-88,-57,58,-15
-7,-89,-82,48,38,-85,-87,-22,-94,-63,49,-23
-9,-93,-84,51,38,-88,-87,-20,-96,-67,47,-29
-12,-96,-83,54,36,-89,-85,-19,-96,-72,36,-31
-17,-97,-80,57,32,-88,-84,-19,-96,-75,31,-33
-18,-95,-77,57,30,-86,-88,-22,-97,-76,29,-33
-20,-94,-75,57,28,-84,-87,-25,-96,-78,24,-33
-15,-92,-77,53,32,-84,-84,-26,-96,-77,31,-31
-11,-89,-78,50,34,-83,-73,-26,-91,-75,33,-30
-7,-87,-80,47,36,-83,-56,-21,-83,-69,42,-32
-5,-87,-82,46,39,-84,-46,-18,-77,-65,46,-33
-9,-91,-82,50,37,-86,-40,-14,-71,-65,40,-38
-11,-93,-82,52,36,-87,-30,-10,-64,-65,41,-39
-17,-95,-78,56,31,-86,-20,-7,-58,-68,32,-39
-18,-96,-77,57,30,-86,-12,-3,-50,-67,30,-37
-14,-94,-80,54,33,-87,-9,1,-43,-63,32,-31
-15,-94,-79,55,32,-86,-8,3,-37,-58,32,-26
-14,-92,-78,53,32,-85,-9,6,-32,-49,45,-19
-12,-89,-77,51,33,-83,-4,9,-26,-43,49,-15
-9,-86,-77,48,34,-81,5,14,-19,-35,60,-14
-5,-85,-79,45,37,-82,7,19,-13,-29,70,-13
-7,-87,-81,47,37,-84,6,26,-5,-25,74,-14
-5,-88,-83,46,40,-85,12,32,2,-20,81,-13
-5,-89,-83,47,39,-86,21,37,10,-20,74,-12
-5,-91,-85,48,40,-88,26,42,15,-16,74,-12
-2,-91,-90,47,44,-90,25,44,18,-12,76,-11
-1,-92,-91,47,45,-91,24,45,21,-10,71,-11
4,-90,-94,43,49,-92,23,47,22,-7,75,-11
2,-88,-90,43,47,-89,23,49,22,-5,73,-7
-2,-86,-83,44,41,-84,27,52,22,0,79,-3
-1,-81,-80,41,40,-80,24,52,21,4,86,3
-1,-77,-76,39,38,-76,19,49,21,6,88,7
1,-70,-71,35,36,-71,17,47,22,12,97,12
-1,-64,-63,32,31,-63,17,44,25,14,97,16
0,-58,-58,29,29,-58,14,40,24,17,99,15
6,-51,-58,23,32,-54,6,34,19,18,99,14
8,-46,-54,19,31,-50,1,30,16,16,94,11
14,-39,-53,13,34,-46,-3,28,12,17,99,10
14,-34,-48,10,31,-40,-4,25,10,15,95,12
11,-29,-40,9,26,-34,1,23,9,14,97,14
8,-25,-32,8,20,-28,-1,23,6,17,101,17
-3,-23,-20,13,9,-21,-5,24,5,20,99,17
-6,-22,-16,14,5,-19,-7,25,5,23,104,17
-9,-23,-14,16,3,-18,-6,23,7,20,98,16
-11,-25,-14,18,2,-20,-4,22,8,20,97,12
-9,-27,-18,18,4,-22,-4,21,7,20,94,8
-12,-28,-17,20,3,-22,-7,19,6,16,86,4
-10,-27,-17,18,4,-22,-12,16,4,15,86,0
-8,-26,-18,17,5,-21,-12,12,3,12,82,1
-6,-24,-19,15,7,-21,-8,10,3,13,85,1
-1,-21,-20,11,10,-21,-13,8,-1,14,89,2
-1,-19,-19,10,9,-19,-21,6,-4,13,86,0
-1,-16,-15,8,8,-15,-24,5,-8,13,90,-1
-6,-13,-7,9,1,-10,-23,2,-11,8,84,-2
-8,-10,-1,9,-3,-5,-21,1,-10,7,82,-1
-6,-4,2,5,-3,-1,-22,-1,-9,7,81,3
-7,-2,5,4,-6,2,-23,-3,-6,7,79,5
-5,1,5,2,-5,3,-25,-3,-3,10,89,6
-3,0,3,2,-3,2,-23,-2,-2,10,89,8
-2,-3,-1,2,0,-2,-18,2,-2,10,91,8
2,-4,-6,1,4,-5,-19,4,-3,11,94,10
2,-6,-8,2,6,-7,-23,7,-2,11,90,10
5,-5,-10,0,8,-8,-23,8,-2,12,94,13
4,-5,-9,0,7,-7,-22,6,-3,10,89,16
2,-4,-6,1,4,-5,-23,3,-3,9,89,15
2,0,-2,-1,2,-1,-26,-1,-3,10,90,13
-3,4,6,0,-4,5,-32,-10,-6,6,83,7
-4,10,15,-3,-9,13,-41,-23,-13,3,82,-1
-7,14,21,-3,-14,17,-39,-42,-18,-7,68,-16
-9,15,24,-3,-16,19,-29,-62,-21,-17,54,-40
-12,8,21,2,-16,15,-15,-77,-21,-30,32,-72
-22,-5,17,14,-19,6,5,-88,-17,-48,-2,-114
-39,-25,13,32,-26,-6,38,-85,-7,-62,-33,-166
-65,-52,14,59,-39,-19,79,-75,10,-78,-78,-227
-96,-86,10,91,-52,-38,126,-64,31,-89,-122,-303
-126,-125,1,125,-63,-62,175,-52,53,-97,-170,-387
-166,-177,-10,172,-78,-93,230,-38,83,-111,-232,-488
-208,-236,-28,222,-90,-132,290,-21,115,-124,-293,-599
-255,-303,-48,279,-103,-175,357,1,154,-135,-363,-719
-304,-375,-71,339,-116,-223,431,28,197,-141,-428,-847
-357,-450,-93,403,-132,-271,490,59,244,-140,-490,-973
-419,-529,-111,474,-154,-320,541,93,297,-135,-555,-1100
-464,-593,-129,529,-168,-361,577,126,350,-111,-596,-1188
-504,-648,-144,576,-179,-396,601,158,406,-78,-634,-1246
-515,-687,-172,601,-171,-430,610,207,460,-20,-623,-1237
-503,-714,-210,608,-146,-462,605,269,513,57,-581,-1174
-471,-724,-253,598,-109,-488,587,344,560,143,-493,-1060
-416,-718,-302,567,-57,-510,555,431,601,243,-357,-902
-360,-680,-319,520,-20,-499,516,498,640,345,-204,-722
-299,-615,-316,457,8,-465,471,555,676,452,-21,-523
-238,-536,-299,387,31,-417,417,592,700,553,157,-336
-181,-449,-268,315,44,-358,357,613,715,645,328,-162
-122,-359,-238,241,58,-298,305,620,716,714,473,-13
-69,-270,-201,169,66,-235,257,612,707,759,581,112
-30,-189,-159,109,65,-174,213,590,681,781,659,202
0,-113,-114,57,57,-113,169,556,642,782,708,266
20,-56,-76,18,49,-66,133,510,595,757,719,296
40,-11,-51,-15,46,-31,102,458,539,714,713,303
52,21,-31,-37,41,-5,82,407,482,658,676,296
61,42,-19,-52,40,12,72,361,424,593,627,278
69,57,-11,-63,40,23,55,320,369,530,575,260
70,66,-5,-68,38,31,36,284,317,466,517,240
77,73,-4,-75,41,35,23,250,269,406,471,226
